"","deaths_m","size_m","deaths_f","size_f"
"1",56,3598,44,3489
"2",3318,20683,3234,35598
"3",653,22981,370,21691
"4",314,4672,237,6372
"5",94,2998,67,3380
"6",4515,84841,3627,91911
"7",503,8545,350,6446
"8",17877,102628,11815,119267
"9",3240,16755,2616,28733
"10",128,4151,107,4201
"11",649,12975,681,17813
"12",142,4664,127,6561
"13",11608,106970,8928,141983
"14",948,13989,697,16612
"15",175,13654,119,12318
"16",2274,14140,1851,20300
"17",134,3248,151,3380
"18",185,4336,132,4442
"19",699,7559,487,10724
"20",367,8083,276,8413
"21",121,1585,51,1297
"22",30,783,31,958
"23",571,7930,315,6665
"24",18684,66186,13134,77540
"25",1791,5636,1755,8950
"26",811,44720,256,12970
"27",495,13540,308,10564
"28",2139,15964,1082,12736
"29",5760,44473,2837,33550
"30",43,1654,13,1386
"31",62,2041,48,1960
"32",942,13496,554,11042
"33",332,8576,142,7147
"34",294,7091,202,6784
"35",260,1747,243,2750
"36",13352,181437,9615,171161
"37",268,7583,190,6593
"38",2560,48821,2042,51690
"39",2406,29153,2578,36420
"40",2954,39658,3189,49077
"41",2718,25150,2411,28360
"42",1926,43450,1521,42252
"43",574,8794,470,9941
"44",1363,14602,1143,20077
"45",1054,21283,1038,23141
"46",573,17285,560,17425
"47",378,10418,349,10844
"48",218,4067,201,5339
"49",319,6800,270,9600
"50",341,4915,352,7232
"51",1092,16445,1004,14864
"52",954,15230,904,17040
"53",312,8657,238,8317
"54",492,11051,465,11433
"55",1372,25611,1074,26262
"56",181,4328,228,4608
"57",270,9583,250,8832
"58",1858,18662,1962,22702
"59",326,6439,367,8196
"60",92,2006,80,1617
"61",31,458,24,513
"62",171,2986,158,3338
"63",486,8679,398,9756
"64",789,12088,628,12759
"65",169,4117,187,5091
"66",80,1727,58,1929
"67",237,3887,171,4142
"68",9,225,7,243
"69",107,5358,101,4180
"70",39,1249,43,1513
